"filename", "language", "Markdown", "Ruby", "YAML", "Gemfile", "erb", "comment", "blank", "total"
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/Gemfile", "Gemfile", 0, 0, 0, 39, 0, 18, 12, 69
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/README.md", "Markdown", 13, 0, 0, 0, 0, 0, 12, 25
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/channels/application_cable/channel.rb", "Ruby", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/channels/application_cable/connection.rb", "Ruby", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/controllers/api/v1/recipes_controller.rb", "Ruby", 0, 9, 0, 0, 0, 1, 1, 11
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/controllers/application_controller.rb", "Ruby", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/facade/recipe_facade.rb", "Ruby", 0, 7, 0, 0, 0, 0, 1, 8
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/jobs/application_job.rb", "Ruby", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/mailers/application_mailer.rb", "Ruby", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/models/application_record.rb", "Ruby", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/models/recipe.rb", "Ruby", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/poros/recipe.rb", "Ruby", 0, 7, 0, 0, 0, 0, 0, 7
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/serializers/recipe_serializer.rb", "Ruby", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/service/recipe_service.rb", "Ruby", 0, 11, 0, 0, 0, 0, 1, 12
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/views/layouts/mailer.html.erb", "erb", 0, 0, 0, 0, 11, 1, 2, 14
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/app/views/layouts/mailer.text.erb", "erb", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config.ru", "Ruby", 0, 2, 0, 0, 0, 1, 3, 6
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/application.rb", "Ruby", 0, 17, 0, 0, 0, 13, 6, 36
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/boot.rb", "Ruby", 0, 3, 0, 0, 0, 0, 2, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/cable.yml", "YAML", 0, 0, 8, 0, 0, 0, 3, 11
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/database.yml", "YAML", 0, 0, 15, 0, 0, 61, 10, 86
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/environment.rb", "Ruby", 0, 2, 0, 0, 0, 2, 2, 6
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/environments/development.rb", "Ruby", 0, 22, 0, 0, 0, 17, 16, 55
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/environments/production.rb", "Ruby", 0, 20, 0, 0, 0, 43, 23, 86
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/environments/test.rb", "Ruby", 0, 16, 0, 0, 0, 19, 12, 47
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/application_controller_renderer.rb", "Ruby", 0, 0, 0, 0, 0, 7, 2, 9
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/backtrace_silencers.rb", "Ruby", 0, 0, 0, 0, 0, 5, 3, 8
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/cors.rb", "Ruby", 0, 0, 0, 0, 0, 13, 4, 17
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 1, 0, 0, 0, 2, 2, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 14, 3, 17
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/mime_types.rb", "Ruby", 0, 0, 0, 0, 0, 3, 2, 5
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/initializers/wrap_parameters.rb", "Ruby", 0, 3, 0, 0, 0, 8, 4, 15
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/locales/en.yml", "YAML", 0, 0, 2, 0, 0, 30, 2, 34
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/puma.rb", "Ruby", 0, 6, 0, 0, 0, 25, 7, 38
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/routes.rb", "Ruby", 0, 7, 0, 0, 0, 1, 2, 10
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/config/storage.yml", "YAML", 0, 0, 6, 0, 0, 23, 6, 35
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/db/migrate/20230223012346_create_recipes.rb", "Ruby", 0, 9, 0, 0, 0, 0, 2, 11
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/db/schema.rb", "Ruby", 0, 9, 0, 0, 0, 12, 5, 26
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/db/seeds.rb", "Ruby", 0, 7, 0, 0, 0, 7, 1, 15
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/spec/factories/recipe.rb", "Ruby", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/spec/rails_helper.rb", "Ruby", 0, 19, 0, 0, 0, 41, 7, 67
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/spec/requests/api/v1/recipes_request_spec.rb", "Ruby", 0, 18, 0, 0, 0, 0, 9, 27
"/Users/janiceweaver/3Mod/projects/babe_whats_for_dinner_be/spec/spec_helper.rb", "Ruby", 0, 9, 0, 0, 0, 381, 6, 396
"Total", "-", 13, 235, 31, 39, 12, 748, 182, 1260
